Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,ObjectId,x,y
1969629,2021-04-05T04:00:00Z,Ohio,Toledo,Auburn Ave and Freeman St,0,1,0,0,0,N/A,1161,-83.5790400126605,41.6646749952961
1968695,2021-04-04T04:00:00Z,Ohio,Toledo,I-75 and I-280,0,1,0,0,0,N/A,1162,-83.5162739754624,41.6902540074913
1968686,2021-04-03T04:00:00Z,Ohio,Toledo,2500 block of Brentwood Ave,0,1,0,0,0,N/A,1163,-83.5530035101635,41.6724766987183
1966100,2021-03-31T04:00:00Z,Ohio,Toledo,800 Division St,0,1,0,0,0,N/A,1164,-83.5519740094069,41.6486026960164
1964648,2021-03-28T04:00:00Z,Ohio,Toledo,1800 block of Brussels St,1,0,0,0,0,N/A,1165,-83.5891675446135,41.6908390548385
1961540,2021-03-25T04:00:00Z,Ohio,Toledo,1800 block of Fernwood Ave,0,1,0,0,0,N/A,1166,-83.5876512351263,41.6546076545594
1961549,2021-03-24T04:00:00Z,Ohio,Toledo,5200 block of Monroe St,0,0,0,0,1,N/A,1167,-83.6523299751087,41.7017675144931
1958189,2021-03-21T04:00:00Z,Ohio,Toledo,Valencia Dr and Whiteford Rd,0,0,1,0,0,N/A,1168,-83.6647589710567,41.6966809995111
1958191,2021-03-20T04:00:00Z,Ohio,Toledo,Earl St and Rogers St,1,0,0,0,0,N/A,1169,-83.5191639716141,41.6319240075747
1954819,2021-03-16T04:00:00Z,Ohio,Toledo,5155  W Sylvania Ave,0,0,1,0,0,N/A,1170,-83.6664236166518,41.6905069731817
1954824,2021-03-16T04:00:00Z,Ohio,Toledo,5327 Dorr St,0,1,0,0,0,N/A,1171,-83.6684833853264,41.6528242834947
1953942,2021-03-14T05:00:00Z,Ohio,Toledo,1400 block of Vance St,0,1,0,0,0,N/A,1172,-83.5786047708205,41.6468777230296
1952696,2021-03-13T05:00:00Z,Ohio,Toledo,400 block of 3rd St,0,1,0,0,0,N/A,1173,-83.5234613619147,41.6454543874671
1950580,2021-03-11T05:00:00Z,Ohio,Toledo,3100 block of Cottage Ave,0,1,0,0,0,N/A,1174,-83.5490770674814,41.679889997965
1950585,2021-03-11T05:00:00Z,Ohio,Toledo,700 block of W Central Ave,0,1,0,0,0,N/A,1175,-83.5613626357162,41.6782204288066
1949821,2021-03-10T05:00:00Z,Ohio,Toledo,2000 block of Elliott Ave,0,1,0,0,0,N/A,1176,-83.5825280532294,41.6608454440636
2640017,2021-03-10T05:00:00Z,Ohio,Toledo,N/A,0,1,0,0,0,N/A,1177,-83.5357170000808,41.6552979996861
1950531,2021-03-10T05:00:00Z,Ohio,Toledo,3100 N Detroit Ave,1,0,0,0,2,N/A,1178,-83.5609049270109,41.6785718137586
1950524,2021-03-10T05:00:00Z,Ohio,Toledo,300 block of E Central Ave,1,0,0,0,0,N/A,1179,-83.5371984630198,41.6789031572644
1946198,2021-03-06T05:00:00Z,Ohio,Toledo,400 block of DanberrySt,0,1,0,0,0,N/A,1180,-83.5967703192396,41.6319612764092
1943115,2021-03-02T05:00:00Z,Ohio,Toledo,2100 block of W Central Ave,1,0,0,0,0,N/A,1181,-83.595543746076,41.6777420442417
1942461,2021-03-01T05:00:00Z,Ohio,Toledo,1500 block of Nevada St,2,0,0,0,3,N/A,1182,-83.5091672819772,41.6399882026791
1942355,2021-02-28T05:00:00Z,Ohio,Toledo,3100 block of Cherry St,0,1,0,0,0,N/A,1183,-83.5508620531886,41.6793099508064
1940962,2021-02-28T05:00:00Z,Ohio,Toledo,3739 Erie St,1,0,0,0,1,N/A,1184,-83.4865260141988,41.6888049857737
1940148,2021-02-26T05:00:00Z,Ohio,Toledo,3310 Stickney Ave,1,0,0,0,0,N/A,1185,-83.5264186760171,41.6832361748129
1939838,2021-02-25T05:00:00Z,Ohio,Toledo,5150 Norwich Rd,0,1,0,0,0,N/A,1186,-83.6624615746333,41.6214425637128
1937273,2021-02-22T05:00:00Z,Ohio,Toledo,700 block of Turner Ave,0,1,0,0,0,N/A,1187,-83.6120516575558,41.6476864247585
1933995,2021-02-20T05:00:00Z,Ohio,Toledo,2114 W Alexis Rd,0,2,0,0,0,N/A,1188,-83.5959598061897,41.7216446540102
1929593,2021-02-15T05:00:00Z,Ohio,Toledo,159 Matzinger Rd,0,1,0,0,0,N/A,1189,-83.5422103499412,41.704220311776
1930642,2021-02-15T05:00:00Z,Ohio,Toledo,2600 block of 106th St,0,1,1,0,0,N/A,1190,-83.4824178656909,41.7071953728563
1929592,2021-02-13T05:00:00Z,Ohio,Toledo,900 block of Hamilton St,0,0,0,0,0,N/A,1191,-83.566352684593,41.643873505113
1921562,2021-02-05T05:00:00Z,Ohio,Toledo,909 Byrneport Dr,2,1,0,0,1,N/A,1192,-83.6173505077015,41.6247309937927
1920738,2021-02-03T05:00:00Z,Ohio,Toledo,1700 block of W Bancroft St,0,1,0,0,0,N/A,1193,-83.5857887724207,41.6634259809595
1919689,2021-02-02T05:00:00Z,Ohio,Toledo,1408 Brookview Dr,0,1,0,0,0,N/A,1194,-83.6326732134365,41.6206614124453
1918809,2021-02-02T05:00:00Z,Ohio,Toledo,600 block of Dryden Dr,0,1,0,0,0,N/A,1195,-83.5592427490879,41.6968224728374
1917721,2021-01-31T05:00:00Z,Ohio,Toledo,Belmont Ave and Junction Ave,0,1,0,0,0,N/A,1196,-83.5771659868406,41.6482129791847
1915393,2021-01-29T05:00:00Z,Ohio,Toledo,1900 block of Macomber St,1,0,0,0,1,N/A,1197,-83.5898816154328,41.6653646117631
1917727,2021-01-29T05:00:00Z,Ohio,Toledo,5600 block of Malden Ave,0,1,0,0,0,N/A,1198,-83.644546295954,41.7176202361562
1915539,2021-01-28T05:00:00Z,Ohio,Toledo,1110 E Broadway St,0,0,0,0,1,N/A,1199,-83.5157610868425,41.6305162253106
1914015,2021-01-28T05:00:00Z,Ohio,Toledo,134 Main St,0,1,0,0,0,N/A,1200,-83.5227386016916,41.6476402855598
1563690,2019-12-03T05:00:00Z,Ohio,Toledo,1100 block of Delence St,0,1,0,0,0,N/A,1201,-83.5136682565723,41.6408164508253
1558035,2019-11-23T05:00:00Z,Ohio,Toledo,1814 Westland Gardens,1,0,0,0,1,N/A,1202,-83.6795110363806,41.6557608830762
1555737,2019-11-22T05:00:00Z,Ohio,Toledo,1000 block of Prouty Ave,1,0,0,0,0,N/A,1203,-83.5659488703132,41.6288245418352
1555085,2019-11-21T05:00:00Z,Ohio,Toledo,800 block of S King Rd,1,0,0,0,0,N/A,1204,-83.7230364196308,41.6493921650905
1551714,2019-11-17T05:00:00Z,Ohio,Toledo,800 block of Mulberry St,2,0,0,0,0,N/A,1205,-83.5250412218183,41.6635977710336
1551186,2019-11-16T05:00:00Z,Ohio,Toledo,500 block of Nevada St,0,1,0,0,0,N/A,1206,-83.5218265664381,41.6397774996223
1546621,2019-11-10T05:00:00Z,Ohio,Toledo,Independence Rd and Hill Ave,0,1,0,0,0,N/A,1207,-83.6370670064418,41.6381720042015
1542962,2019-11-06T05:00:00Z,Ohio,Toledo,500 block of E Bancroft St,0,1,0,0,0,N/A,1208,-83.5380788721854,41.6642740047746
1541512,2019-11-04T05:00:00Z,Ohio,Toledo,1701 Lagrange St,0,2,0,0,0,N/A,1209,-83.5344466115891,41.667053612096
1541515,2019-11-03T04:00:00Z,Ohio,Toledo,100 block of Essex St,0,1,0,0,0,N/A,1210,-83.5178713767686,41.6502468833473
1540863,2019-11-03T04:00:00Z,Ohio,Toledo,600 block of Magnolia St,0,4,0,0,0,N/A,1211,-83.5219967423872,41.6624803025678
1539763,2019-11-01T04:00:00Z,Ohio,Toledo,2200 block of Hollywood Ave,0,1,0,0,0,N/A,1212,-83.565843400014,41.6650984410293
1538165,2019-10-29T04:00:00Z,Ohio,Toledo,Austin St and Lagrange St,1,0,0,0,0,N/A,1213,-83.5381479759869,41.6732840061215
1063842,2018-02-06T05:00:00Z,Ohio,Toledo,Reen Dr and Fern Dr,0,0,0,1,0,N/A,1214,-83.6158290239182,41.7075350189865
1532882,2019-10-23T04:00:00Z,Ohio,Toledo,1901 W Sylvania Ave,1,0,0,0,1,N/A,1215,-83.5898820044033,41.6919080084044
1530500,2019-10-18T04:00:00Z,Ohio,Toledo,701 E Central Ave,0,0,0,0,2,N/A,1216,-83.5274499859807,41.6799300173581
1526355,2019-10-11T04:00:00Z,Ohio,Toledo,2857 Airport Hwy,0,0,0,0,1,N/A,1217,-83.6104409692683,41.6273440102644
